"API","Application Programming Interface: Giao diện lập trình ứng dụng"
"CPU","Central Processing Unit: Bộ xử lý trung tâm"
"RAM","Random Access Memory: Bộ nhớ truy cập ngẫu nhiên"
"HTML","HyperText Markup Language: Ngôn ngữ đánh dấu siêu văn bản"
"CSS","Cascading Style Sheets: Ngôn ngữ định dạng trang web"
"HTTP","HyperText Transfer Protocol: Giao thức truyền tải siêu văn bản"
"JSON","JavaScript Object Notation: Định dạng dữ liệu văn bản nhẹ"
"SQL","Structured Query Language: Ngôn ngữ truy vấn có cấu trúc"
"IDE","Integrated Development Environment: Môi trường phát triển tích hợp"
"GUI","Graphical User Interface: Giao diện người dùng đồ họa"
